Votante,Votacao,Voto
ThompsonFlores,ID_STF_8,1.0
ThompsonFlores,ID_STF_13,1.0
ThompsonFlores,ID_STF_38,1.0
ThompsonFlores,ID_STF_42,1.0
ThompsonFlores,ID_STF_46,1.0
ThompsonFlores,ID_STF_52,1.0
ThompsonFlores,ID_STF_53,1.0
DjaciFalcao,ID_STF_8,1.0
DjaciFalcao,ID_STF_9,1.0
DjaciFalcao,ID_STF_12,1.0
DjaciFalcao,ID_STF_13,1.0
DjaciFalcao,ID_STF_14,0.0
DjaciFalcao,ID_STF_33,1.0
DjaciFalcao,ID_STF_38,1.0
DjaciFalcao,ID_STF_42,1.0
DjaciFalcao,ID_STF_46,1.0
DjaciFalcao,ID_STF_47,1.0
DjaciFalcao,ID_STF_52,1.0
DjaciFalcao,ID_STF_53,1.0
DjaciFalcao,ID_STF_55,1.0
DjaciFalcao,ID_STF_60,1.0
DjaciFalcao,ID_STF_66,1.0
DjaciFalcao,ID_STF_78,0.0
DjaciFalcao,ID_STF_83,1.0
DjaciFalcao,ID_STF_85,1.0
DjaciFalcao,ID_STF_87,1.0
DjaciFalcao,ID_STF_98,0.0
DjaciFalcao,ID_STF_100,1.0
DjaciFalcao,ID_STF_104,1.0
DjaciFalcao,ID_STF_106,1.0
DjaciFalcao,ID_STF_108,1.0
DjaciFalcao,ID_STF_112,1.0
DjaciFalcao,ID_STF_113,1.0
DjaciFalcao,ID_STF_119,1.0
DjaciFalcao,ID_STF_120,0.0
DjaciFalcao,ID_STF_123,1.0
DjaciFalcao,ID_STF_124,1.0
DjaciFalcao,ID_STF_125,1.0
DjaciFalcao,ID_STF_130,1.0
DjaciFalcao,ID_STF_135,1.0
DjaciFalcao,ID_STF_137,1.0
DjaciFalcao,ID_STF_151,1.0
DjaciFalcao,ID_STF_161,1.0
DjaciFalcao,ID_STF_162,1.0
DjaciFalcao,ID_STF_165,1.0
DjaciFalcao,ID_STF_175,1.0
DjaciFalcao,ID_STF_176,1.0
DjaciFalcao,ID_STF_182,1.0
DjaciFalcao,ID_STF_196,1.0
DjaciFalcao,ID_STF_237,1.0
DjaciFalcao,ID_STF_247,1.0
DjaciFalcao,ID_STF_251,1.0
DjaciFalcao,ID_STF_258,1.0
DjaciFalcao,ID_STF_278,1.0
DjaciFalcao,ID_STF_283,1.0
DjaciFalcao,ID_STF_289,1.0
DjaciFalcao,ID_STF_296,1.0
DjaciFalcao,ID_STF_300,1.0
DjaciFalcao,ID_STF_302,1.0
DjaciFalcao,ID_STF_305,1.0
DjaciFalcao,ID_STF_321,1.0
DjaciFalcao,ID_STF_325,1.0
DjaciFalcao,ID_STF_331,1.0
DjaciFalcao,ID_STF_343,1.0
DjaciFalcao,ID_STF_361,1.0
DjaciFalcao,ID_STF_372,1.0
DjaciFalcao,ID_STF_401,1.0
DjaciFalcao,ID_STF_408,1.0
DjaciFalcao,ID_STF_413,1.0
DjaciFalcao,ID_STF_415,1.0
DjaciFalcao,ID_STF_422,1.0
DjaciFalcao,ID_STF_430,1.0
DjaciFalcao,ID_STF_438,1.0
DjaciFalcao,ID_STF_471,1.0
DjaciFalcao,ID_STF_503,1.0
DjaciFalcao,ID_STF_515,1.0
DjaciFalcao,ID_STF_622,1.0
AntonioNeder,ID_STF_8,1.0
AntonioNeder,ID_STF_9,1.0
AntonioNeder,ID_STF_12,1.0
AntonioNeder,ID_STF_13,1.0
AntonioNeder,ID_STF_53,0.0
AntonioNeder,ID_STF_55,1.0
XavierAlbuquerque,ID_STF_8,0.0
XavierAlbuquerque,ID_STF_12,1.0
XavierAlbuquerque,ID_STF_13,1.0
XavierAlbuquerque,ID_STF_38,0.0
XavierAlbuquerque,ID_STF_42,0.0
XavierAlbuquerque,ID_STF_46,0.0
XavierAlbuquerque,ID_STF_52,1.0
XavierAlbuquerque,ID_STF_53,1.0
XavierAlbuquerque,ID_STF_55,1.0
XavierAlbuquerque,ID_STF_60,1.0
XavierAlbuquerque,ID_STF_83,1.0
XavierAlbuquerque,ID_STF_85,1.0
XavierAlbuquerque,ID_STF_87,1.0
XavierAlbuquerque,ID_STF_98,1.0
XavierAlbuquerque,ID_STF_113,0.0
XavierAlbuquerque,ID_STF_123,1.0
XavierAlbuquerque,ID_STF_130,1.0
XavierAlbuquerque,ID_STF_137,0.0
LeitaoAbreu,ID_STF_9,0.0
LeitaoAbreu,ID_STF_12,1.0
LeitaoAbreu,ID_STF_38,0.0
LeitaoAbreu,ID_STF_46,1.0
LeitaoAbreu,ID_STF_52,1.0
LeitaoAbreu,ID_STF_53,1.0
LeitaoAbreu,ID_STF_55,1.0
CordeiroGuerra,ID_STF_8,1.0
CordeiroGuerra,ID_STF_9,1.0
CordeiroGuerra,ID_STF_12,1.0
CordeiroGuerra,ID_STF_13,0.0
CordeiroGuerra,ID_STF_14,0.0
CordeiroGuerra,ID_STF_33,1.0
CordeiroGuerra,ID_STF_38,1.0
CordeiroGuerra,ID_STF_42,1.0
CordeiroGuerra,ID_STF_46,1.0
CordeiroGuerra,ID_STF_52,1.0
CordeiroGuerra,ID_STF_53,0.0
CordeiroGuerra,ID_STF_55,1.0
CordeiroGuerra,ID_STF_60,1.0
CordeiroGuerra,ID_STF_66,1.0
CordeiroGuerra,ID_STF_78,1.0
CordeiroGuerra,ID_STF_83,0.0
CordeiroGuerra,ID_STF_85,1.0
CordeiroGuerra,ID_STF_87,1.0
CordeiroGuerra,ID_STF_98,1.0
CordeiroGuerra,ID_STF_100,0.0
CordeiroGuerra,ID_STF_108,1.0
CordeiroGuerra,ID_STF_113,1.0
CordeiroGuerra,ID_STF_119,1.0
CordeiroGuerra,ID_STF_123,0.0
CordeiroGuerra,ID_STF_124,1.0
CordeiroGuerra,ID_STF_125,1.0
CordeiroGuerra,ID_STF_130,1.0
CordeiroGuerra,ID_STF_137,1.0
CordeiroGuerra,ID_STF_162,1.0
CordeiroGuerra,ID_STF_165,0.0
CordeiroGuerra,ID_STF_175,1.0
CordeiroGuerra,ID_STF_182,1.0
CordeiroGuerra,ID_STF_237,1.0
CordeiroGuerra,ID_STF_247,1.0
MoreiraAlves,ID_STF_8,1.0
MoreiraAlves,ID_STF_9,1.0
MoreiraAlves,ID_STF_12,1.0
MoreiraAlves,ID_STF_13,1.0
MoreiraAlves,ID_STF_14,0.0
MoreiraAlves,ID_STF_18,1.0
MoreiraAlves,ID_STF_33,1.0
MoreiraAlves,ID_STF_38,1.0
MoreiraAlves,ID_STF_42,1.0
MoreiraAlves,ID_STF_46,1.0
MoreiraAlves,ID_STF_47,1.0
MoreiraAlves,ID_STF_52,1.0
MoreiraAlves,ID_STF_55,1.0
MoreiraAlves,ID_STF_60,0.0
MoreiraAlves,ID_STF_66,1.0
MoreiraAlves,ID_STF_78,1.0
MoreiraAlves,ID_STF_83,1.0
MoreiraAlves,ID_STF_85,0.0
MoreiraAlves,ID_STF_87,1.0
MoreiraAlves,ID_STF_98,1.0
MoreiraAlves,ID_STF_100,1.0
MoreiraAlves,ID_STF_104,1.0
MoreiraAlves,ID_STF_106,1.0
MoreiraAlves,ID_STF_108,1.0
MoreiraAlves,ID_STF_112,1.0
MoreiraAlves,ID_STF_113,1.0
MoreiraAlves,ID_STF_119,1.0
MoreiraAlves,ID_STF_120,0.0
MoreiraAlves,ID_STF_123,1.0
MoreiraAlves,ID_STF_124,1.0
MoreiraAlves,ID_STF_125,1.0
MoreiraAlves,ID_STF_130,1.0
MoreiraAlves,ID_STF_135,1.0
MoreiraAlves,ID_STF_137,1.0
MoreiraAlves,ID_STF_151,1.0
MoreiraAlves,ID_STF_161,1.0
MoreiraAlves,ID_STF_162,1.0
MoreiraAlves,ID_STF_165,0.0
MoreiraAlves,ID_STF_175,0.0
MoreiraAlves,ID_STF_176,1.0
MoreiraAlves,ID_STF_196,1.0
MoreiraAlves,ID_STF_247,0.0
MoreiraAlves,ID_STF_251,1.0
MoreiraAlves,ID_STF_258,1.0
MoreiraAlves,ID_STF_278,0.0
MoreiraAlves,ID_STF_289,1.0
MoreiraAlves,ID_STF_296,1.0
MoreiraAlves,ID_STF_300,1.0
MoreiraAlves,ID_STF_302,1.0
MoreiraAlves,ID_STF_305,0.0
MoreiraAlves,ID_STF_308,1.0
MoreiraAlves,ID_STF_315,1.0
MoreiraAlves,ID_STF_321,1.0
MoreiraAlves,ID_STF_325,1.0
MoreiraAlves,ID_STF_331,1.0
MoreiraAlves,ID_STF_343,1.0
MoreiraAlves,ID_STF_351,1.0
MoreiraAlves,ID_STF_372,1.0
MoreiraAlves,ID_STF_401,1.0
MoreiraAlves,ID_STF_408,1.0
MoreiraAlves,ID_STF_413,1.0
MoreiraAlves,ID_STF_415,1.0
MoreiraAlves,ID_STF_422,1.0
MoreiraAlves,ID_STF_430,1.0
MoreiraAlves,ID_STF_438,1.0
MoreiraAlves,ID_STF_471,1.0
MoreiraAlves,ID_STF_515,1.0
MoreiraAlves,ID_STF_622,1.0
CunhaPeixoto,ID_STF_8,1.0
CunhaPeixoto,ID_STF_9,0.0
CunhaPeixoto,ID_STF_12,1.0
CunhaPeixoto,ID_STF_13,1.0
CunhaPeixoto,ID_STF_42,1.0
CunhaPeixoto,ID_STF_46,1.0
CunhaPeixoto,ID_STF_52,1.0
CunhaPeixoto,ID_STF_53,1.0
CunhaPeixoto,ID_STF_55,0.0
CunhaPeixoto,ID_STF_60,0.0
CunhaPeixoto,ID_STF_83,0.0
CunhaPeixoto,ID_STF_87,1.0
SoaresMunoz,ID_STF_8,0.0
SoaresMunoz,ID_STF_9,0.0
SoaresMunoz,ID_STF_12,1.0
SoaresMunoz,ID_STF_13,1.0
SoaresMunoz,ID_STF_33,1.0
SoaresMunoz,ID_STF_38,1.0
SoaresMunoz,ID_STF_42,1.0
SoaresMunoz,ID_STF_46,1.0
SoaresMunoz,ID_STF_52,1.0
SoaresMunoz,ID_STF_53,1.0
SoaresMunoz,ID_STF_55,1.0
SoaresMunoz,ID_STF_60,1.0
SoaresMunoz,ID_STF_66,1.0
SoaresMunoz,ID_STF_78,1.0
SoaresMunoz,ID_STF_83,1.0
SoaresMunoz,ID_STF_85,1.0
SoaresMunoz,ID_STF_87,1.0
SoaresMunoz,ID_STF_98,1.0
SoaresMunoz,ID_STF_100,0.0
SoaresMunoz,ID_STF_104,1.0
SoaresMunoz,ID_STF_106,0.0
SoaresMunoz,ID_STF_108,1.0
SoaresMunoz,ID_STF_112,1.0
SoaresMunoz,ID_STF_113,1.0
